,id,datetime,v_rms1,v_rms2,v_rms3,i_rms1,i_rms2,i_rms3,pf1,pf2,pf3,energy_sum1,energy_sum2,energy_sum3,active_pwr1,active_pwr2,active_pwr3,relay1,relay2,relay3
0,1, 2017-07-11 00:50:10.770175 ,121.9118834,121.8421109,121.8333223,0.042237162,0,0,0.383011801,0,0,0.9375,0.3125,38.4375,1.972208976,0,0, t      , t      , t
1,2, 2017-07-11 00:51:14.769352 ,122.0772386,121.915241,121.8550382,0.042237162,0,0,0.384532364,0,0,0.9375,0.3125,38.4375,1.982724308,0,0, t      , t      , t
2,3, 2017-07-11 00:51:36.334924 ,120.8821714,120.8475411,121.6161635,0.043756484,0,1.402762413,0.37805302,0,0.576622106,0.9375,0.3125,38.75,1.999665677,0,98.37091422, t      , t      , t
3,4, 2017-07-11 00:51:41.881468 ,121.7164636,121.6812246,121.6234021,0.041933298,0,1.387314796,0.37976814,0,0.569451683,0.9375,0.3125,38.75,1.938326239,0,96.08355141, t      , t      , t
4,5, 2017-07-11 00:51:47.128056 ,121.2053657,121.1327486,121.1239369,0.042541027,0,1.377214431,0.377527226,0,0.575019853,0.9375,0.3125,39.0625,1.964030385,0,95.9211514, t      , t      , t
5,6, 2017-07-11 00:51:52.65348  ,121.6037214,121.3009479,121.2325163,0.042237162,0,1.388800144,0.378181727,0,0.584429014,0.9375,0.3125,39.0625,1.942415535,0,98.39899015, t      , t      , t
6,7, 2017-07-11 00:52:05.243604 ,121.5962052,121.5495903,121.5075841,0.042541027,0,1.374540805,0.378214041,0,0.564770373,0.9375,0.3125,39.375,1.956435978,0,94.32632828, t      , t      , t
7,8, 2017-07-11 00:52:36.52727  ,121.0926235,121.0376794,120.9791644,0.042237162,0,1.35196352,0.382062305,0,0.552937204,0.9375,0.3125,40.3125,1.954099237,0,90.43808675, t      , t      , t
8,9, 2017-07-11 00:53:04.464517 ,121.7314959,121.6812246,121.645118,0.042237162,0,1.324038982,0.382215932,0,0.553762825,0.9375,0.3125,40.9375,1.965198755,0,89.19063449, t      , t      , t
9,10, 2017-07-11 00:53:09.68002  ,121.6939151,121.6592855,121.6161635,0.041933298,0,1.358796119,0.376404162,0,0.53917006,0.9375,0.3125,40.9375,1.920800685,0,89.09869957, t      , t      , t
10,11, 2017-07-11 00:53:51.567913 ,120.7468808,120.774411,120.7258124,0.042237162,0,1.346913337,0.383895597,0,0.546776965,0.9375,0.3125,42.1875,1.945920646,0,88.90987515, t      , t      , t
11,12, 2017-07-11 00:54:44.554484 ,121.4383662,121.3887041,121.3483343,0.041933298,0,1.357013702,0.383276358,0,0.537753494,0.9375,0.3125,43.4375,1.951762497,0,88.55259514, t      , t      , t
12,13, 2017-07-11 00:54:56.9904   ,121.0400105,121.0084274,120.9936416,0.042237162,0,1.346319198,0.382114109,0,0.540907106,0.9375,0.3125,43.75,1.953515052,0,88.11163783, t      , t      , t
13,14, 2017-07-11 00:56:01.863244 ,120.7168162,120.9718623,120.617233,0.041933298,0,1.338892459,0.379566235,0,0.538831441,0.9375,0.3125,45.3125,1.921384871,0,87.01777744, t      , t      , t
14,15, 2017-07-11 00:57:05.485881 ,121.2354302,121.1693137,121.1456528,0.042237162,0,1.342754364,0.382410853,0,0.532163093,0.9375,0.3125,46.875,1.958188533,0,86.56636047, t      , t      , t
15,16, 2017-07-11 00:58:08.917681 ,121.2504625,121.1985657,121.1528914,0.042541027,0,1.341863155,0.378046699,0,0.528597274,1.25,0.3125,48.4375,1.950009942,0,85.93437672, t      , t      , t
16,17, 2017-07-11 00:58:24.018213 ,120.6792355,120.5769596,120.5665627,0.042237162,0,1.331168651,0.380047368,0,0.532931306,1.25,0.3125,48.75,1.937157869,0,85.53250551, t      , t      , t
